innings,Runs
1,0
2,12
3,7
4,3
5,148
6,28
7,47
8,11
9,24
10,2
11,15
12,20
13,28
14,7
15,2
16,56
17,37
18,67
19,11
20,38
21,183
22,45
23,0
24,80
25,17
26,14
27,12
28,68
29,72
30,2
31,77
32,20
33,38
34,13
35,10
36,96
37,3
38,59
39,18
40,2
41,15
42,46
43,14
44,2
45,18
46,23
47,7
48,51
49,28
50,14
51,55
52,26
53,44
54,62
55,6
56,40
57,48
58,67
59,0
60,29
61,0
62,91
63,36
64,2
65,33
66,139
67,0
68,14
69,19
70,21
71,13
72,13
73,24
74,35
75,50
76,58
77,33
78,50
79,4
80,26
81,5
82,63
83,4
84,49
85,45
86,24
87,37
88,88
89,17
90,31
91,37
92,50
93,36
94,15
95,36
96,24
97,64
98,109
99,26
100,76
101,67
102,49
103,6
104,39
105,76
106,71
107,1
108,39
109,15
110,29
111,9
112,50
113,61
114,23
115,35
116,94
117,53
118,84
119,23
120,68
121,9
122,41
123,95
124,46
125,35
126,8
127,56
128,3
129,34
130,124
131,71
132,26
133,6
134,24
135,72
136,107
137,37
138,101
139,32
140,14
141,26
142,68
143,9
144,38
145,56
146,41
147,38
148,2
149,23
150,10
151,38
152,67
153,0
154,25
155,38
156,5
157,2
158,5
159,31
160,34
161,19
162,12
163,22
164,7
165,25
166,91
167,33
168,6
169,69
170,78
171,50
172,87
173,35
174,15
175,75
176,29
177,4
178,44
179,58
180,56
181,14
182,46
183,21
184,4
185,35
186,11
187,31
188,58
189,113
190,54
191,36
192,32
193,72
194,10
195,19
196,15
197,27
198,0
199,27
200,45
201,19
202,139
203,25
204,62
205,13
206,51
207,23
208,65
209,19
210,40
211,56
212,50
213,79
214,47
215,52
216,29
217,8
218,51
219,6
220,19
221,34
222,17
223,18
224,18
225,45
226,85
227,6
228,65
229,5
230,47
231,69
232,31
233,92
234,47
235,15
236,27
237,18
238,11
239,23
240,0
241,34
242,21
243,39
244,80
245,11
246,41
247,6
248,134
249,25
250,63
251,4
252,9
253,13
254,78
255,54
256,45
257,67
258,49
259,1
260,79
261,5
262,3
263,13
264,25
265,18
266,25
267,65
268,7
269,4
270,10
271,42
272,13
273,37
274,42
275,0
276,33
277,8
278,36
279,20
280,7
281,23
